Product_ID,Name,Brand,Price,Category,Type
ER1,boAt Airdopes 431 Bluetooth Headset,boAt,1999,Earphones,Wireless
ER2,boAt Rockerz 235v2,boAt,1199,Earphones,Wireless
ER3,boAt 103 Wireless Bluetooth Headset,boAt,1196,Earphones,Wireless
ER4,boAt BassHeads 100 Wired Headset,boAt,379,Earphones,Wired
ER5,boAt Rockerz 450 Bluetooth Headset,boAt,1399,Earphones,Wireless
ER6,boAt Airdopes 131 Bluetooth Headset,boAt,1299,Earphones,Wireless
ER7,boAt Rockerz 255F Bluetooth Headset,boAt,1399,Earphones,Wireless
ER8,boAt Bassheads 242 Wired Headset,boAt,499,Earphones,Wired
ER9,boAt BassHeads 220 Wired Headset,boAt,499,Earphones,Wired
ER10,boAt BassHeads 182 Wired Headset,boAt,499,Earphones,Wired
ER11,boAt Bassheads 103 Black Wired Headset,boAt,399,Earphones,Wired
ER12,boAt Rockerz 335 Bluetooth Headset,boAt,1999,Earphones,Wireless
ER13,boAt BassHeads 900 Wired Headset,boAt,749,Earphones,Wired
ER14,boAt BassHeads 172 Wired Headset,boAt,499,Earphones,Wired
ER15,boAt Airdopes 402 Bluetooth Headset,boAt,1699,Earphones,Wireless
ER16,Leaf Ear Bass Bluetooth Headset,Leaf,999,Earphones,Wireless
ER17,Leaf Ear Bass 2 Wireless,Leaf,1499,Earphones,Wireless
ER18,LEAF Pods 5.0 Bluetooth Headset,Leaf,2999,Earphones,Wireless
ER19,LEAF Air Bluetooth Headset,Leaf,1299,Earphones,Wireless
ER20,LEAF Buds TWS Bluetooth Headset,Leaf,2999,Earphones,Wireless
ER21,Mivi Thunder Beats Bluetooth Headset,Mivi,1399,Earphones,Wireless
ER22,Mivi Collar Neckband Bluetooth Headset,Mivi,1599,Earphones,Wireless
ER23,Mivi DuoPods M20 True Wireless Bluetooth Headset,Mivi,1499,Earphones,Wireless
ER24,Mivi DuoPods M80 True Wireless Bluetooth Earbuds,Mivi,2999,Earphones,Wireless
ER25,Mivi Duopods M40 Bluetooth Headset,Mivi,2499,Earphones,Wireless
ER26,Mivi Collar 2A with Fast Charging Bluetooth Headset,Mivi,1399,Earphones,Wireless
ER27,Mivi BE5CL-BL Bluetooth Headset,Mivi,999,Earphones,Wireless
ER28,Mivi Saxo Bluetooth Headset,Mivi,1894,Earphones,Wireless
ER29,Noise Shots ERGO Truly Wireless Bluetooth Headset,Noise,1999,Earphones,Wireless
ER30,Noise Shots Groove Truly Wireless Bluetooth Headset,Noise,2999,Earphones,Wireless
