ProductID,Brand,Category,Name,Warranty,Type,Metal,Additionals,Capacity,Price
KC1,Butterfly,Kitchenware,Butterfly Friendly 3 L Induction Bottom Pressure Cooker,5,Pressure Cooker,Aluminium,Induction Bottom,3 Litres,629
KC2,Butterfly,Kitchenware,Butterfly Friendly 5 L Induction Bottom Pressure Cooker,3,Pressure Cooker,Aluminium,Induction Bottom,5 Litres,949
KC3,Butterfly,Kitchenware,Butterfly Friendly 2 L Pressure Cooker,5,Pressure Cooker,Aluminium,Nil,2 Litres,379
KC4,Hawkins,Kitchenware,Hawkins Contura 3 L Pressure Cooker,2,Pressure Cooker,Aluminium,Nil,3 Litres,1253
KC5,Hawkins,Kitchenware,Hawkins Contura 1.5 L Pressure Cooker,5,Pressure Cooker,Aluminium,Nil,1.5 Litres,936
KC6,Hawkins,Kitchenware,Hawkins CONTURA BLACK 5 L Pressure Cooker,2,Pressure Cooker,Stainless Steel,Nil,5 Litres,2269
KC7,Prestige,Kitchenware,Prestige Nakshatra Duo Plus Svachh Handi Pressure Cooker 3 L Induction Bottom Pressure Cooker,5,Pressure Cooker,Aluminium,Nil,3 Litres,1380
KC8,Prestige,Kitchenware,Prestige Svachh Nakshatra Plus Handi 5 L Induction Bottom Pressure Cooker,1,Pressure Cooker,Aluminium,Nil,5 Litres,2400
KC9,Prestige,Kitchenware,Prestige Nakshatra Alpha 3.5 L Induction Bottom Pressure Cooker,5,Pressure Cooker,Stainless Steel,Nil,3.5 Litres,1995
KC10,Prestige,Kitchenware,Prestige Popular 3 L Pressure Cooker,3,Pressure Cooker,Stainless Steel,Nil,3 Litres,1780
KC11,Butterfly,Kitchenware,Butterfly Curve 5.5 L Induction Bottom Pressure Cooker(Stainless Steel),5,Pressure Cooker,Stainless Steel,Induction Bottom,5.5 Litres,1750
KC12,Butterfly,Kitchenware,Butterfly Curve 2 L Induction Bottom Pressure Cooker(Stainless Steel),5,Pressure Cooker,Stainless Steel,Induction Bottom,2 Litres,1209
KC13,Butterfly,Kitchenware,Butterfly Blue Line 5 L Induction Bottom Pressure Cooker,5,Pressure Cooker,Stainless Steel,Induction Bottom,5 Litres,2199
KC14,Butterfly,Kitchenware,Butterfly present Blueline 3 liter capacity stainless steel 3 L Induction Bottom Pressure Cooker,5,Pressure Cooker,Stainless Steel,Induction Bottom,3 Litres,1750
KC15,Hawkins,Kitchenware,HAWKINS Contura Black 3.5 L Pressure Cooker,5,Pressure Cooker,Hard Anodized,Nil,3.5 Litres,1777
KC16,Hawkins,Kitchenware,HAWKINS Stainless Steel Contura 3 L Induction Bottom Pressure Cooker,5,Pressure Cooker,Stainless Steel,Induction Bottom,3 Litres,2499
KC17,Hawkins,Kitchenware,HAWKINS Stainless Steel Contura 2 L Induction Bottom Pressure Cooker,5,Pressure Cooker,Stainless Steel,Induction Bottom,2 Litres,2210
