Product_ID,Name,Price,Category,RAM,ROM,Expandable Upto,Battery,Processor,Display,Display Type,Rear Camera,Front Camera,Ratings
EM1,"Lava Z61 (2 GB RAM, 16 GB ROM)",5777,Smartphone,2,16,128,3100,MediaTek Unisoc Octa Core,13.84,HD+,8,5,4.0
EM2,"Micromax Canvas (2 GB RAM, 16 GB ROM)",7345,Smartphone,2,16,64,4000,MediaTek MT6737 Cortex-A53 64-bit,14.48,HD,13,8,3.7
EM3,"Karbonn Aura (2 GB RAM, 16 GB ROM)",6541,Smartphone,2,16,32,2000,MediaTek MT6737 Cortex-A53 64-bit,12.7,HD,8,5,3.7
EM4,"Karbonn Frames (2 GB RAM, 16 GB ROM)",8999,Smartphone,2,16,64,2900,MediaTek MT6737 Cortex-A53 64-bit,13.21,HD,8,8,4.0
EM5,"Micromax Canvas (2 GB RAM, 16 GB ROM)",8599,Smartphone,2,16,128,2500,MediaTek MT6737 Cortex-A53 64-bit,13.84,HD+,13,8,3.9
EM6,"Karbonn Titanium (2 GB RAM, 16 GB ROM)",8226,Smartphone,2,16,64,4000,MediaTek MT6735 64-bit,13.97,HD,13,8,3.8
EM7,"Karbonn Yuva (2 GB RAM, 16 GB ROM)",6334,Smartphone,2,16,128,2250,MediaTek MT6735 64-bit,12.7,HD,5,5,3.8
EM8,"Lava Z70 (2 GB RAM, 16 GB ROM)",7335,Smartphone,2,16,64,2500,MediaTek Helio P22 Octa Core Processor,12.7,HD,8,5,3.7
EM9,"Karbonn Titanium (2 GB RAM, 16 GB ROM)",7490,Smartphone,2,16,64,4000,MediaTek MT6735 64-bit,12.7,HD,13,8,3.9
EM10,"Karbonn Titanium (2 GB RAM, 32 GB ROM)",6696,Smartphone,2,32,0,3000,MediaTek Unisoc Octa Core,15.49,HD,8,5,3.7
EM11,"Celkon UFEEL (2 GB RAM, 16 GB ROM)",5999,Smartphone,2,16,32,2500,MediaTek Cortex A7,12.7,HD,8,5,3.7
EM12,"Karbonn Aura (2 GB RAM, 16 GB ROM)",7899,Smartphone,2,16,32,2900,MediaTek MT6753 Octa Core 1.3GHz,13.97,HD,13,5,3.7
EM13,"Micromax CANVAS (3 GB RAM, 32 GB ROM)",7799,Smartphone,3,32,0,4000,MediaTek MT6753 Octa Core 1.3GHz,14.48,HD,13,5,3.8
EM14,"Lava Z66 (3 GB RAM, 32 GB ROM)",7777,Smartphone,3,32,128,3950,MediaTek Helio P21,15.44,HD+,13,13,4.1
EM15,"Lava Z92 (3 GB RAM, 32 GB ROM)",12199,Smartphone,3,32,256,3260,MediaTek Helio P22,15.8,HD+,13,8,4.3
EM16,"Micromax Canvas (3 GB RAM, 32 GB ROM)",7699,Smartphone,3,32,0,4000,MediaTek Helio P23,14.48,HD+,13,8,3.8
